Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
11815,2,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,[],0
11816,4,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11817,4,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11818,6,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11819,4,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11820,4,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11821,6,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11822,4,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11823,4,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11824,6,13.5,"['192.168.1.74:20000', '192.168.1.70:48987']","['192.168.1.70:48987', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
